ProductID,ProductName,Category,Price
P0001,Evening,Toys,45810.78
P0002,Big,Books,29810.32
P0003,Cell,Electronics,48147.23
P0004,Strong,Electronics,14763.61
P0005,Third,Electronics,17555.54
P0006,Worker,Grocery,22450.55
P0007,Whose,Grocery,3639.73
P0008,Step,Grocery,21635.32
P0009,They,Home,32134.95
P0010,Accept,Grocery,31464.13
P0011,Task,Electronics,12639.93
P0012,Help,Toys,16101.89
P0013,Give,Electronics,2877.19
P0014,Top,Toys,46778.4
P0015,Create,Books,29120.31
P0016,Weight,Grocery,45838.51
P0017,Establish,Grocery,1885
P0018,Watch,Fashion,38945.67
P0019,Such,Fashion,14547.49
P0020,Part,Home,28373.35
P0021,Yourself,Fashion,8698.02
P0022,Husband,Electronics,33123.51
P0023,At,Books,43375.51
P0024,Officer,Grocery,25649.5
P0025,Ground,Electronics,32682.8
P0026,Mouth,Toys,13404.03
P0027,Like,Toys,26312.15
P0028,Doctor,Home,169.02
P0029,Technology,Grocery,1746.82
P0030,Opportunity,Toys,12911.03
P0031,Strategy,Toys,3707.32
P0032,Language,Fashion,22132.39
P0033,Smile,Electronics,7304.63
P0034,Begin,Home,23453.17
P0035,Almost,Electronics,44323.81
P0036,Consumer,Books,24513.98
P0037,Hundred,Books,36049.73
P0038,School,Grocery,13156.01
P0039,Home,Grocery,24312.94
P0040,Practice,Home,27945.65
P0041,Tend,Toys,6624.75
P0042,Director,Fashion,41973.05
P0043,Case,Fashion,31823.55
P0044,Age,Books,29870.75
P0045,Term,Electronics,27614.52
P0046,Around,Books,33731.27
P0047,Become,Toys,18552.11
P0048,Probably,Toys,15969.26
P0049,Education,Fashion,33685.14
P0050,Relationship,Books,48838.18
P0051,Child,Home,907.17
P0052,Black,Electronics,8130.37
P0053,Time,Home,28738.91
P0054,Knowledge,Grocery,49403.07
P0055,Off,Home,9847.69
P0056,Home,Toys,710.67
P0057,Carry,Grocery,32036.35
P0058,Data,Fashion,19851.06
P0059,American,Grocery,5222.22
P0060,Some,Books,25955.43
P0061,Much,Books,42843.58
P0062,Night,Toys,719.92
P0063,Bad,Home,1796.02
P0064,White,Electronics,29997.92
P0065,Gun,Fashion,46224.7
P0066,Quite,Fashion,40944.42
P0067,Ten,Books,22515.47
P0068,Work,Electronics,14521.52
P0069,Film,Toys,43872.1
P0070,Figure,Toys,15626.72
P0071,Next,Toys,31890.26
P0072,Half,Home,30586.09
P0073,Pull,Grocery,29600.94
P0074,Read,Home,31600.59
P0075,Maybe,Grocery,6414.07
P0076,Gas,Grocery,33745.05
P0077,Walk,Books,31770.26
P0078,Return,Home,13869.21
P0079,Hand,Books,2100.87
P0080,Accept,Books,22114.75
P0081,Concern,Books,17375.63
P0082,Nothing,Home,26893.32
P0083,Tell,Toys,34146.63
P0084,Entire,Fashion,24969.67
P0085,Worker,Books,33183.28
P0086,Summer,Grocery,45414.18
P0087,Hotel,Fashion,2608.49
P0088,Interesting,Books,23862.35
P0089,Mission,Home,47776.2
P0090,Create,Electronics,4541.22
P0091,Land,Toys,19236.54
P0092,Tell,Home,40584.21
P0093,Improve,Books,43974.96
P0094,Foot,Electronics,39141.36
P0095,Four,Grocery,43421.39
P0096,Need,Home,5167.74
